name,power,gender,description,in_endgame,movies_in,strength,intelligence,agility
Hulk,superhuman strength anger durabl heal factor,Male,white magazin teacher base test hulk save day,True,4,95,34,48
Captain America,peak human abil vibranium shield,Male,face charg leg behavior respons captain america save day,True,6,76,87,84
Captain America,indomit expert tactician shield throw,Male,sourc central natur sit beauti behind captain america save day,True,6,81,76,73
Captain America,went past leader ship qualiti worthi among aveng lift thor hammer,Male,method produc point walk focu plant wide save question machin school captain america save day,True,9,83,74,76
Hulk,superhuman strength anger durabl heal factor,Male,film media food accept rate game right pattern ahead compar hulk save day,True,3,98,38,61
Captain America,enhanc strength endur martial art expert,Male,million research buy send whole today captain america save day,True,7,78,82,67
Captain America,pound snap steel chain,Male,explain thing lead red republican father parti special captain america save day,True,5,80,97,87
Hulk,invulner skin resist nuclear blast artilleri shell extrem temperatur,Male,gener group goal product easi possibl travel assum figur front hulk save day,True,4,97,26,40
Black Widow,widow bite wrist gauntlet deliv electr blast tear ga,Female,attack newspap decad concern industri enjoy point black widow save day,True,6,46,78,93
Spiderman,adher surfac via static silk format,Male,hundr crime network avail mean share spiderman save day,True,1,53,79,94
Black Widow,heal recov deep wound fractur trauma much faster normal human,Female,goal rest fund resourc skill everyth sever field hour black widow save day,True,5,60,87,89
Spiderman,adher surfac via static silk format,Male,pm per question return process stuff pick tough posit final spiderman save day,True,4,60,83,92
Captain America,enhanc reflex see object slow motion dodg bullet,Male,debat must voic build degre ground commun first home learn spring practic hard attack captain america save day,True,9,87,71,76
Black Widow,expert marksman flawless accuraci firearm throw knive rang weapon,Female,yeah law enjoy key seat pretti method front control game sign lead black widow save day,True,4,41,83,96
Black Widow,biochem enhanc longev red room serum slow age boost immun system,Female,wife argu note easi eight school readi practic black widow save day,True,7,51,81,84
Black Widow,multilingu fluent dozen languag global undercov oper,Female,red pictur thank account instead friend possibl beyond tree fill level control black widow save day,True,4,62,86,91
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,power someon receiv around wall citi inde opportun soon question consid ironman save day,True,10,80,99,55
Black Widow,heal recov deep wound fractur trauma much faster normal human,Female,decid abl discuss describ upon past centuri littl back wide case southern intern black widow save day,True,5,46,95,98
Captain America,master tactician combat strategi battlefield analysi leadership,Male,point often billion learn blood execut captain america save day,True,7,74,86,77
Ironman,power armor suit repulsor flight,Male,onto togeth back edg win develop imag stage gener societi thought accord ironman save day,True,10,73,98,62
Hulk,environment adapt surviv indefinit vacuum space deep ocean pressur,Male,messag member includ let result spend green hulk save day,True,5,98,33,55
Spiderman,intellect web shooter,Male,spend purpos south travel blood benefit chanc court money spring environ howev health imag spiderman save day,True,5,49,81,94
Ironman,geniu engin energi weapon missil launcher,Male,strong back democrat mind big discuss histori cover ironman save day,True,9,78,95,50
Hulk,superhuman strength anger durabl heal factor,Male,decis three troubl place short imag almost term statement wait hulk save day,True,4,99,34,48
Ironman,advanc durabl shell made alloy resist missil energi attack,Male,pattern kind describ caus role goal invest social easi popular easi ironman save day,True,8,76,95,68
Ironman,nanotechnolog suit super strength flight,Male,speak line group citi easi drop ironman save day,True,7,77,99,64
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,larg north play person ten physic charact attent kind field ever argu medic financi later spiderman save day,True,4,64,67,94
Black Widow,peak human condit espionag wrist stinger,Female,offer brother shake guess pull tough instead hour black widow save day,True,5,61,87,93
Black Widow,heal recov deep wound fractur trauma much faster normal human,Female,agreement mention two though whole wall cup win sell candid four whether wife final soon black widow save day,True,4,52,85,92
Black Widow,peak human condit espionag wrist stinger,Female,accept vote area impact posit caus lead ever stand dark product eight strategi black widow save day,True,6,64,87,90
Ironman,ai assist tactic analysi hack via system like jarvi friday,Male,newspap special gener go quickli paper offic practic mr without expect foot member simpl ironman save day,True,9,72,100,77
Spiderman,superhuman agil lift car punch wall strength cling wall,Male,order medic meet major none littl admit former bodi indic film spiderman save day,True,4,56,77,93
Captain America,peak human abil vibranium shield,Male,feder noth allow caus ye noth sometim trial hospit high captain america save day,True,6,89,77,79
Hulk,superhuman strength anger durabl heal factor,Male,continu goal suffer walk girl civil may rock hulk save day,True,4,96,38,41
